C_1,C_2,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_12,A_13,A_14,A_15,w8,w6,w4,w10,w1,w0,nf8,nf6,nf4,nf10,nf1,nf0,l8,l6,l4,l10,l1,l0,gdc,idd,gbw,pm
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,6.67E-5,2.63E-5,1.5E-5,5.199999999999999E-6,6.879999999999999E-5,3.0,7.0,5.0,5.0,5.0,1.0,9.3E-7,8.699999999999999E-7,7.5E-7,8.699999999999999E-7,3.0E-7,7.0E-7,52.402,2.9406E-4,5.4683E7,63.828
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,6.78E-5,2.72E-5,7.699999999999999E-6,6.3E-6,8.719999999999999E-5,3.0,5.0,5.0,5.0,5.0,1.0,9.3E-7,8.2E-7,7.900000000000001E-7,8.6E-7,3.0E-7,6.499999999999999E-7,51.75,3.0121E-4,5.7028E7,61.552
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,6.699999999999999E-5,2.53E-5,1.57E-5,4.9E-6,7.07E-5,3.0,7.0,5.0,5.0,7.0,3.0,9.1E-7,8.2E-7,7.7E-7,8.9E-7,3.0E-7,7.4E-7,52.925,3.0365E-4,5.481E7,60.362
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,6.549999999999999E-5,2.75E-5,4.0E-6,5.0999999999999995E-6,7.07E-5,3.0,7.0,5.0,5.0,7.0,1.0,9.3E-7,8.4E-7,7.7E-7,8.4E-7,3.0E-7,8.0E-7,53.375,2.9545E-4,5.2561E7,61.343
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,6.419999999999999E-5,2.7E-5,1.01E-5,4.9E-6,5.9999999999999995E-5,3.0,5.0,5.0,5.0,7.0,3.0,9.399999999999999E-7,7.799999999999999E-7,7.5E-7,9.3E-7,3.0E-7,6.1E-7,51.439,3.2347E-4,6.2997E7,63.774
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,6.61E-5,2.7E-5,7.2999999999999996E-6,5.7999999999999995E-6,7.79E-5,3.0,7.0,5.0,5.0,7.0,1.0,8.9E-7,7.7E-7,7.5E-7,9.3E-7,3.0E-7,7.7E-7,53.379,2.9603E-4,5.2459E7,61.95
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,6.379999999999999E-5,2.4599999999999998E-5,2.4E-6,5.5E-6,7.809999999999999E-5,5.0,7.0,5.0,5.0,7.0,1.0,9.3E-7,7.5E-7,7.5E-7,8.8E-7,3.0E-7,8.2E-7,53.521,2.8508E-4,4.9267E7,61.082
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,6.52E-5,2.7E-5,1.59E-5,5.0999999999999995E-6,6.809999999999999E-5,3.0,7.0,5.0,5.0,7.0,1.0,9.3E-7,8.1E-7,7.7E-7,8.6E-7,3.0E-7,7.0E-7,52.305,3.1354E-4,5.8719E7,61.549
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,6.259999999999999E-5,2.7E-5,1.76E-5,6.099999999999999E-6,8.369999999999999E-5,3.0,5.0,5.0,5.0,7.0,1.0,9.399999999999999E-7,7.599999999999999E-7,7.900000000000001E-7,9.200000000000001E-7,3.0E-7,6.499999999999999E-7,51.593,3.2011E-4,6.0856E7,60.085
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,6.35E-5,2.68E-5,1.18E-5,4.8E-6,6.369999999999999E-5,3.0,7.0,5.0,5.0,5.0,1.0,9.3E-7,8.499999999999999E-7,7.599999999999999E-7,8.299999999999999E-7,3.0E-7,7.8E-7,53.116,2.8675E-4,5.1034E7,64.362
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,6.589999999999999E-5,2.91E-5,5.199999999999999E-6,5.5E-6,7.929999999999999E-5,3.0,8.0,5.0,5.0,7.0,1.0,9.3E-7,8.299999999999999E-7,7.799999999999999E-7,8.4E-7,3.0E-7,8.7E-7,53.985,2.8607E-4,4.9071E7,60.384
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,6.209999999999999E-5,2.53E-5,2.84E-5,4.9E-6,7.28E-5,3.0,7.0,5.0,5.0,5.0,3.0,9.3E-7,8.299999999999999E-7,7.1E-7,9.200000000000001E-7,3.0E-7,7.8E-7,53.113,2.9183E-4,5.2185E7,61.217
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,5.849999999999999E-5,1.9E-5,9.7E-6,3.1E-6,4.6099999999999996E-5,3.0,7.0,5.0,5.0,1.0,1.0,9.399999999999999E-7,7.3E-7,6.6E-7,6.699999999999999E-7,3.0E-7,5.3E-7,50.565,3.3906E-4,7.3066E7,62.96
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,5.849999999999999E-5,1.9E-5,1.34E-5,3.1E-6,4.6099999999999996E-5,3.0,7.0,5.0,5.0,1.0,1.0,9.399999999999999E-7,7.3E-7,6.6E-7,6.699999999999999E-7,3.0E-7,5.2E-7,50.328,3.4536E-4,7.486E7,62.68
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,5.6899999999999994E-5,1.74E-5,1.21E-5,2.8E-6,4.149999999999999E-5,3.0,1.0,5.0,5.0,3.0,1.0,8.9E-7,7.799999999999999E-7,6.1E-7,9.1E-7,3.1E-7,7.7E-7,53.985,3.1326E-4,5.7795E7,61.654
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,5.98E-5,1.48E-5,1.34E-5,2.6999999999999996E-6,4.09E-5,3.0,1.0,5.0,5.0,3.0,1.0,9.200000000000001E-7,8.1E-7,6.4E-7,8.4E-7,3.1E-7,6.2E-7,52.298,3.2429E-4,6.4297E7,60.864
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0E-6,5.9E-5,1.7E-5,1.26E-5,3.0E-6,4.849999999999999E-5,3.0,5.0,5.0,5.0,1.0,1.0,9.4E-7,7.1E-7,6.6E-7,7.0E-7,3.0E-7,5.900000000000001E-7,51.608,3.0508E-4,6.3271E7,62.496
